"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"53152-62239","QB","Josh","Josh Allen","Allen","25.34749984741211","16","9000","IND@BUF","BUF","IND","","","","",""
"53152-89675","RB","Jonathan","Jonathan Taylor","Taylor","15.653333536783855","15","8800","IND@BUF","IND","BUF","","","","",""
"53152-25079","WR","Stefon","Stefon Diggs","Diggs","16.568750381469727","16","8700","IND@BUF","BUF","IND","","","","",""
"53152-6498","QB","Tom","Tom Brady","Brady","21.8700008392334","16","8000","TB@WAS","TB","WAS","","","","",""
"53152-55635","WR","Chris","Chris Godwin","Godwin","13.208333333333334","12","7800","TB@WAS","TB","WAS","","","","",""
"53152-32384","WR","Mike","Mike Evans","Evans","13.350000381469727","16","7600","TB@WAS","TB","WAS","Q","Knee","","",""
"53152-22015","QB","Russell","Russell Wilson","Wilson","23.298749923706055","16","7400","LAR@SEA","SEA","LAR","","","","",""
"53152-56250","WR","Terry","Terry McLaurin","McLaurin","12.02000020345052","15","7100","TB@WAS","WAS","TB","","","","",""
"53152-38435","QB","Jared","Jared Goff","Goff","16.865333048502603","15","7000","LAR@SEA","LAR","SEA","Q","Thumb","","",""
"53152-64119","RB","Chris","Chris Carson","Carson","14.108333587646484","12","7000","LAR@SEA","SEA","LAR","","","","",""
"53152-7968","QB","Philip","Philip Rivers","Rivers","15.6850004196167","16","6900","IND@BUF","IND","BUF","","","","",""
"53152-73048","WR","DK","DK Metcalf","Metcalf","14.362500190734863","16","6900","LAR@SEA","SEA","LAR","","","","",""
"53152-27050","WR","Tyler","Tyler Lockett","Lockett","13.462499618530273","16","6800","LAR@SEA","SEA","LAR","","","","",""
"53152-63591","RB","Ronald","Ronald Jones II","Jones II","12.307143075125557","14","6700","TB@WAS","TB","WAS","","","","",""
"53152-29685","WR","Robert","Robert Woods","Woods","12.506250381469727","16","6700","LAR@SEA","LAR","SEA","","","","",""
"53152-8005","QB","Alex","Alex Smith","Smith","8.842222425672743","9","6500","TB@WAS","WAS","TB","","","","",""
"53152-11612","WR","Antonio","Antonio Brown","Brown","10.51111094156901","9","6500","TB@WAS","TB","WAS","","","","",""
"53152-79970","WR","Cooper","Cooper Kupp","Kupp","10.846666463216145","15","6400","LAR@SEA","LAR","SEA","IR","Illness","","",""
"53152-26355","TE","Logan","Logan Thomas","Thomas","8.788749694824219","16","6400","TB@WAS","WAS","TB","","","","",""
"53152-22031","WR","T.Y.","T.Y. Hilton","Hilton","9.07999979654948","15","6200","IND@BUF","IND","BUF","","","","",""
"53152-90933","RB","Antonio","Antonio Gibson","Gibson","13.157142639160156","14","6200","TB@WAS","WAS","TB","","","","",""
"53152-56192","QB","John","John Wolford","Wolford","4.613333384195964","3","6200","LAR@SEA","LAR","SEA","","","","",""
"53152-89230","RB","Cam","Cam Akers","Akers","7.407692542442908","13","6100","LAR@SEA","LAR","SEA","","","","",""
"53152-22288","WR","Cole","Cole Beasley","Beasley","11.1","15","6000","IND@BUF","BUF","IND","Q","Knee","","",""
"53152-11460","TE","Rob","Rob Gronkowski","Gronkowski","7.925000190734863","16","6000","TB@WAS","TB","WAS","","","","",""
"53152-54606","WR","John","John Brown","Brown","8.922222561306423","9","5700","IND@BUF","BUF","IND","","","","",""
"53152-63625","RB","Nyheim","Nyheim Hines","Hines","10.106249809265137","16","5600","IND@BUF","IND","BUF","","","","",""
"53152-70027","RB","Zack","Zack Moss","Moss","7.276922959547776","13","5500","IND@BUF","BUF","IND","","","","",""
"53152-30231","QB","Jacoby","Jacoby Brissett","Brissett","1.7149999936421711","12","5400","IND@BUF","IND","BUF","","","","",""
"53152-43334","RB","J.D.","J.D. McKissic","McKissic","9.462499618530273","16","5400","TB@WAS","WAS","TB","","","","",""
"53152-47870","TE","Tyler","Tyler Higbee","Higbee","6.637499809265137","16","5400","LAR@SEA","LAR","SEA","","","","",""
"53152-53390","WR","Zach","Zach Pascal","Pascal","7.181250095367432","16","5300","IND@BUF","IND","BUF","","","","",""
"53152-70603","RB","Devin","Devin Singletary","Singletary","7.787499904632568","16","5300","IND@BUF","BUF","IND","","","","",""
"53152-29605","QB","Matt","Matt Barkley","Barkley","2.569999933242798","4","5200","IND@BUF","BUF","IND","","","","",""
"53152-52922","RB","Leonard","Leonard Fournette","Fournette","9.5","12","5200","TB@WAS","TB","WAS","","","","",""
"53152-69213","WR","Michael","Michael Pittman Jr.","Pittman Jr.","5.635714394705636","14","5100","IND@BUF","IND","BUF","","","","",""
"53152-14194","QB","Blaine","Blaine Gabbert","Gabbert","3.8299999237060547","4","5100","TB@WAS","TB","WAS","","","","",""
"53152-34308","QB","Blake","Blake Bortles","Bortles","0","1","5000","LAR@SEA","LAR","SEA","","","","",""
