Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69306-79970,WR,Cooper,Cooper Kupp,Kupp,21.69333292643229,15,10200,LAR@BAL,LAR,BAL,,,,,,WR/FLEX
69306-89675,RB,Jonathan,Jonathan Taylor,Taylor,21.613334147135415,15,10000,LV@IND,IND,LV,,,,,,RB/FLEX
69306-42104,RB,Alvin,Alvin Kamara,Kamara,15.954545454545455,11,9200,CAR@NO,NO,CAR,,,,,,RB/FLEX
69306-80001,RB,Austin,Austin Ekeler,Ekeler,18.83571515764509,14,9000,DEN@LAC,LAC,DEN,,,,,,RB/FLEX
69306-56018,WR,Deebo,Deebo Samuel,Samuel,18.41428484235491,14,9000,HOU@SF,SF,HOU,,,,,,WR/FLEX
69306-62239,QB,Josh,Josh Allen,Allen,24.654667154947916,15,8800,ATL@BUF,BUF,ATL,,,,,,QB
69306-52436,TE,Mark,Mark Andrews,Andrews,14.879999796549479,15,8700,LAR@BAL,BAL,LAR,,,,,,TE/FLEX
69306-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.84000040690104,15,8500,KC@CIN,KC,CIN,,,,,,QB
69306-52442,RB,Joe,Joe Mixon,Mixon,16.986666870117187,15,8500,KC@CIN,CIN,KC,,,,,,RB/FLEX
69306-11612,WR,Antonio,Antonio Brown,Brown,16,6,8500,TB@NYJ,TB,NYJ,,,,,,WR/FLEX
69306-6498,QB,Tom,Tom Brady,Brady,22.286665852864584,15,8300,TB@NYJ,TB,NYJ,,,,,,QB
69306-33076,TE,Travis,Travis Kelce,Kelce,13.892857142857142,14,8200,KC@CIN,KC,CIN,Q,Undisclosed,,,,TE/FLEX
69306-53681,WR,Tyreek,Tyreek Hill,Hill,15.540000406901042,15,8200,KC@CIN,KC,CIN,,,,,,WR/FLEX
69306-69189,QB,Justin,Justin Herbert,Herbert,23.310666910807292,15,8200,DEN@LAC,LAC,DEN,,,,,,QB
69306-63484,QB,Kyler,Kyler Murray,Murray,22.53833262125651,12,8200,ARI@DAL,ARI,DAL,,,,,,QB
69306-25079,WR,Stefon,Stefon Diggs,Diggs,13.846666463216145,15,8000,ATL@BUF,BUF,ATL,,,,,,WR/FLEX
69306-69531,QB,Jalen,Jalen Hurts,Hurts,22.014286586216517,14,7900,PHI@WAS,PHI,WAS,,,,,,QB
69306-92413,RB,Eli,Eli Mitchell,Mitchell,14.11111111111111,9,7800,HOU@SF,SF,HOU,Q,Knee,,,,RB/FLEX
69306-63115,QB,Lamar,Lamar Jackson,Jackson,21.081666310628254,12,7800,LAR@BAL,BAL,LAR,Q,Ankle,,,,QB
69306-45565,QB,Taysom,Taysom Hill,Hill,9.726000213623047,10,7700,CAR@NO,NO,CAR,IR,Illness,,,,QB
69306-91598,RB,D'Andre,D'Andre Swift,Swift,14.581817626953125,11,7700,DET@SEA,DET,SEA,Q,Shoulder - ac joint,,,,RB/FLEX
